Company names,links,Category
MAGNA INTERNATIONAL INC,https://www.magna.com/company/investors/financial-reports-public-filings/annual-reports,Investors Page
LEAR CORPORATION,https://ir.lear.com/financial-information/annual-reports,Investors Page
CONTINENTAL AG,https://www.continental.com/en/investors/reports/?tabs%5B140275%5D=140281,Investors Page
BORG WARNER CORP,https://www.borgwarner.com/investors/annual-reports,Investors Page
ZF FRIEDRICHSHAFEN AG,https://www.zf.com/mobile/en/company/investor_relations/financial_reports/financial_reports_cp.html,Investors Page
SK ON CO LTD,https://sk-inc.com/en/ir/financialInformation.aspx,Investors Page
ADIENT PLC,https://investors.adient.com/financial-information/sec-filings,Investors Page
NEMAK SA,https://investors.nemak.com/financiera/informacion_anual,Investors Page
LINAMAR CORPORATE,https://www.linamar.com/investors/,Investors Page
FLEXTRONICS INTERNATIONAL,https://investors.flex.com/financials/annual-reports/default.aspx,Investors Page
HITACHI LTD,https://www.hitachi.com/IR-e/financial/index.html,Investors Page
VISTEON CORPORATION,https://investors.visteon.com/sec-filings,Investors Page
MARTINREA INTERNATIONAL INC.,https://www.martinrea.com/investor-relations/,Investors Page
COOPER STANDARD AUTOMOTIVE INC,https://ir.cooperstandard.com/sec-filings?cat=1&year=2023,Investors Page
THYSSEN KRUPP AG,https://www.thyssenkrupp.com/en/investors/reporting-and-publications,Investors Page
SUMITOMO ELECTRIC IND LTD,https://sumitomoelectric.com/ir/library,Investors Page
HANON SYSTEMS,https://www.hanonsystems.com/en/investors/annualreport,Investors Page
VITESCO TECHNOLOGIES GMBH,https://ir.vitesco-technologies.com/websites/vitesco/English/4000/reports-_-presentations.html,Investors Page
NOVELIS CORP,https://investors.novelis.com/historical-results,Investors Page
GRUPO ANTOLIN IRAUSA S.A.,https://www.antolin.com/en/inversores/annual-reports,Investors Page
METALSA S.A.P.I. DE C.V.,https://investors.metalsa.com/annual-financial-information,Investors Page
SCHAEFFLER AUTOMOTIVE BUEHL GMBH & CO. KG,https://www.schaeffler.com/en/investor-relations/events-publications/earnings-releases/,Investors Page
AUTOLIV AB,https://www.autoliv.com/investors/reports-presentations,Investors Page
GESTAMP,https://www.gestamp.com/Investors-Shareholders/Economic-Financial-information/Annual-Information,Investors Page
PLASTIC OMNIUM AUTO INERGY,https://www.opmobility.com/en/analysts-and-investors/,Investors Page
INTERNATIONAL AUTOMOTIVE COMPONENTS - IAC,https://ir.iac.com/,Investors Page
METALDYNE LLC,https://www.aam.com/investors/reports-filings,Investors Page
MAHLE GMBH,https://www.mahle.com/en/investor-relations/financial-reports/,Investors Page
PREH GMBH,https://www.joyson.cn/en/web/index.php/investor.html,Investors Page
NTN CORP,https://www.ntnglobal.com/en/investors/index.html,Investors Page
SCHAEFFLER TECHNOLOGIES AG & CO KG,https://www.schaeffler.com/en/investor-relations/events-publications/earnings-releases/,Investors Page
AMERICAN AXLE AND MANUFACTURING,https://www.aam.com/investors/reports-filings,Investors Page
GOODYEAR TIRE & RUBBER CO - PARENT COMPANY ONLY,https://corporate.goodyear.com/us/en/investors/financial-reports/annual-reports.html,Investors Page
GARRETT MOTION INC,https://investors.garrettmotion.com/node/9846,Investors Page
TEXTRON INC,https://investor.textron.com/investors/investor-resources/annual-report-and-proxy-materials/default.aspx,Investors Page
TDK CORP,https://www.tdk.com/en/ir/ir_library/annual/index.html,Investors Page
