Company names,links,Category
PISTON AUTOMOTIVE LLC,N,No Annual Report
DELACO STEEL CORP,N,No Annual Report
TENNECO INC,N,No Annual Report
AUTOKINITON GLOBAL GROUP,N,No Annual Report
SUMMIT POLYMERS INC,N,No Annual Report
"MIDWAY PRODUCTS GROUP, INC.",N,No Annual Report
LM MANUFACTURING LLC,N,No Annual Report
THAI SUMMIT AMERICA CORPORATION,N,No Annual Report
BROSE FAHRZEUGTEILE SE & CO. KOMMANDITGESELLSCHAFT,N,No Annual Report
PRIME WHEEL CORPORATION,N,No Annual Report
MULTIMATIC INC,N,No Annual Report
CHRYSAN INDUSTRIES INC,N,No Annual Report
AUMA SA DE CV,N,No Annual Report
BECKER HARMAN AUTOMOTIVE SYSTEMS BECKER DIVISION GMBH,N,No Annual Report
DETROIT THERMAL SYSTEMS,N,No Annual Report
FEDERAL MOGUL CORP,N,No Annual Report
KOLBENSCHMIDT PIERBURG AG,N,No Annual Report
NEAPCO HOLDINGS LLC,N,No Annual Report
AUTOMOTIVE SEALING SYSTEMS HOLDINGS SA,N,No Annual Report
ROCK VOLNEY,N,No Annual Report
CLARIOS GLOBAL LP,N,No Annual Report
THAI SUMMIT AUTO PARTS INDUSTRY CO LTD,N,No Annual Report
TI GROUP AUTOMOTIVE SYSTEMS,N,No Annual Report
AKWEL SA,N,No Annual Report
VENTRA GROUP INC,N,No Annual Report
US FARATHANE,N,No Annual Report
NYX INC,N,No Annual Report
VIBRACOUSTIC SE,N,No Annual Report
"CONTEMPORARY AMPEREX TECHNOLOGY CO,LIMITED",N,No Annual Report
CRISTALES INASTILLABLES DE MEXICO SA DE CV,N,No Annual Report
TK HOLDINGS INC,N,No Annual Report
GETRAG GETRIEBE- UND ZAHNRADFABRIK,N,No Annual Report
YAZAKI SYSTEMS TECHNOLOGIES GMBH,N,No Annual Report
"ALUDYNE, INC.",N,No Annual Report
KIEKERT AG,N,No Annual Report
SHILOH INDUSTRIES INC,N,No Annual Report
PGI AUTO COMPONENTS KUNSHAN CO LTD,N,No Annual Report
INOAC,N,No Annual Report
MEANS INDUSTRIES INC,N,No Annual Report
ADAC PLASTICS INC,N,No Annual Report
TARGET METAL BLANKING INC,N,No Annual Report
JAC PRODUCTS INC,N,No Annual Report
EISENWERK BRUEHL GMBH,N,No Annual Report
L & L PRODUCTS INC,N,No Annual Report
AURIA SOLUTIONS USA INC,N,No Annual Report
NOVARES US LLC,N,No Annual Report
DEE ZEE INC,N,No Annual Report
WINDSOR MOLD INC,N,No Annual Report
FICOSA INTERNACIONAL S.A.,N,No Annual Report
UNIVANCE CORPORATION,N,No Annual Report
MAGNESIUM ALUMINUM MICHIGAN CORPORATION,N,No Annual Report
STULZ HOLDING GMBH,N,No Annual Report
THAI SUMMIT PKK CO LTD,N,No Annual Report
WICO METAL PRODUCTS,N,No Annual Report
ADLER PELZER HOLDING GMBH,N,No Annual Report
SHANGHAI DAIMAY AUTOMOTIVE INTERIOR CO LTD,N,No Annual Report
MACLEAN FOGG COMPONENT SOLUTIONS,N,No Annual Report
MUHR UND BENDER KG,N,No Annual Report
TRICO PRODUCTS CORP,N,No Annual Report
BCS AUTOMOTIVE INTERFACE SOLUTIONS GMBH,N,No Annual Report
"DAKKOTA INTEGRATED SYSTEMS, LLC",N,No Annual Report
GEDIA GEBR DINGERKUS GMBH,N,No Annual Report
"MOLEX, LLC.",N,No Annual Report
CLARION CO LTD,N,No Annual Report
LUMOTECH (PTY) LTD,N,No Annual Report
HUSCO AUTOMOTIVE TECHNOLOGIES LLC,N,No Annual Report
INALFA ROOF SYSTEMS,N,No Annual Report
GUARDIAN AUTOMOTIVE PRODUCTS INC,N,No Annual Report
TRACE DIE CAST INC,N,No Annual Report
SODECIA DA BAHIA LTDA.,N,No Annual Report
AMANDA MANUFACTURING,N,No Annual Report
MODINEER CO,N,No Annual Report
ROECHLING AUTOMOTIVE SE,N,No Annual Report
ACUMENT GLOBAL TECHNOLOGIES,N,No Annual Report
AEROKLAS COMPANY LIMITED,N,No Annual Report
ATLAS COPCO IAS GMBH,N,No Annual Report
SILVERTON MANUFACTURING (PTY) LTD,N,No Annual Report
"USUI CO., LTD.",N,No Annual Report
SEG AUTOMOTIVE GERMANY GMBH,N,No Annual Report
COLD HEADING CO,N,No Annual Report
BRUGOLA OEB INDUSTRIALE S.P.A.,N,No Annual Report
HUELSBECK & FUERST GMBH & CO KG,N,No Annual Report
IFA POWERTRAIN GMBH & CO. KG,N,No Annual Report
MARELLI AUTOMOTIVE LIGHTING REUTLINGEN (GERMANY) GMBH,N,No Annual Report
PASS GMBH & CO KG,N,No Annual Report
MOBEX GLOBAL,N,No Annual Report
CREATIVE FOAM CORP,N,No Annual Report
F.SEGURA S.L.,N,No Annual Report
ELDOR CORPORATION S.P.A.,N,No Annual Report
PRAGA TECHNICAL SERVICES & MANUFACTURING,N,No Annual Report
LINAMAR LIGHT METALS SAS,N,No Annual Report
FACIL EUROPE BV,N,No Annual Report
TRIDENT STEEL,N,No Annual Report
DETROIT CHASSIS LLC,N,No Annual Report
WALTER KLEIN GMBH & CO KG,N,No Annual Report
SHAPE CORP,N,No Annual Report
GHSP INC,N,No Annual Report
BORBET GMBH,N,No Annual Report
LYDALL INC,N,No Annual Report
CHENG SHIN RUBBER IND CO LTD,N,No Annual Report
CEQUENT TOWING PRODUCTS,N,No Annual Report
CTA ACOUSTICS INC,N,No Annual Report
JIANGXI JIANGLING MOTORS IMP&EXP CO LTD,N,No Annual Report
TURBO ENERGY PRIVATE LIMITED,N,No Annual Report
SHANNON PRECISION FASTENER LLC,N,No Annual Report
NOBEL GEMLIK OTOMOTIV SANAYI VE TICARET ANONIM SIRKETI,N,No Annual Report
TELENAV INC,N,No Annual Report
E&K LLC,N,No Annual Report
SUMMIT LAEMCHABANG AUTO BODY WORK CO LTD,N,No Annual Report
DAYCO PRODUCTS LLC,N,No Annual Report
ILJIN USA CORPORATION,N,No Annual Report
YOKOHAMA INDUSTRIES AMERICAS INC.,N,No Annual Report
NANTONG TONGRUN AUTO ACCESSORY CO LTD,N,No Annual Report
POSCO AUSTRALIA PTY LTD,N,No Annual Report
MUSASHI SEIMITSU INDUSTRY CO LTD,N,No Annual Report
YAPP AUTOMOTIVE PARTS CO LTD,N,No Annual Report
"NORTH AMERICAN LIGHTING MÉXICO, S.A. DE C.V.",N,No Annual Report
TREVES PSI SAS,N,No Annual Report
GUANGDONG HT TECHNOLOGY CO LTD,N,No Annual Report
MACLEAN FOGG COMPONENT SOLUTIONS,N,No Annual Report
KSR INTERNATIONAL CO,N,No Annual Report
SEWS COMPONENTS & ELECTRONICS EUROPE KFT,N,No Annual Report
VCST INDUSTRIAL PRODUCTS,N,No Annual Report
TRIBAR MANUFACTURING LLC,N,No Annual Report
SAPA AUTOMOTIVE LLC,N,No Annual Report
NINGBO SHENGLONG IMP&EXP CO LTD,N,No Annual Report
EPC-COLUMBIA INC,N,No Annual Report
MACLEAN MASTER LLC,N,No Annual Report
SEMBLEX CORP,N,No Annual Report
HITACHI ASTEMO TURKEY OTOMOTIV A.S.,N,No Annual Report
"VEHICLE ENERGY AMERICA, INC.",N,No Annual Report
FAGOR EDERLAN S COOP LTDA,N,No Annual Report
GIL MAR MFG CO,N,No Annual Report
MALBEN ENGINEERING,N,No Annual Report
WAUPACA FOUNDRY INC,N,No Annual Report
ULTRA MANUFACTURING LTD,N,No Annual Report
"YUBEI STEERING SYSTEM (XINXIANG) CO., LTD.",N,No Annual Report
JOHNSON ELECTRIC AUTOMOTIVE INC,N,No Annual Report
EAST PENN MANUFACTURING COMPANY INC,N,No Annual Report
WITTE VELBERT GMBH & CO. KG,N,No Annual Report
SL CORPORATION,N,No Annual Report
MSSC US,N,No Annual Report
BRC RUBBER AND PLASTICS INC,N,No Annual Report
THAI KOITO CO LTD,N,No Annual Report
KAMAX INC.,N,No Annual Report
KIRCHHOFF AUTOMOTIVE DEUTSCHLAND GMBH,N,No Annual Report
NAGAKURA ENGINEERING WORKS,N,No Annual Report
DURA AUTOMOTIVE SYSTEMS INC,N,No Annual Report
DONG YANG PISTON CO. LTD.,N,No Annual Report
HHI FORMTECH LLC,N,No Annual Report
"BEIJING ZHONG KE SAN HUAN HIGH-TECH CO.,LTD.",N,No Annual Report
AZTEC MFG CORP,N,No Annual Report
ALUDEC S.A.,N,No Annual Report
VISSCHER-CARAVELLE NA. INC.,N,No Annual Report
SPARTAN LIGHT METAL PRODUCTS INC,N,No Annual Report
"AGRATI - PARK FOREST, LLC",N,No Annual Report
STANDARD PROFIL OTOMOTIV SANAYI VE TICARET A.S.,N,No Annual Report
BONTAZ CENTRE SAS,N,No Annual Report
AMATURENFABRIK HERMANN VOSS GMBH & CO KG,N,No Annual Report
"GLOBAL STEERING SYSTEMS, LLC",N,No Annual Report
SUZHOU SONAVOX ELECTRONICS CO LTD,N,No Annual Report
BRUSS SEALING SYSTEMS GMBH,N,No Annual Report
FORJA DE MONTERREY SA DE CV,N,No Annual Report
JG KERN ENTERPRISES INC,N,No Annual Report
CASCADE ENGINEERING,N,No Annual Report
MEADVILLE FORGING COMPANY,N,No Annual Report
BMTS TECHNOLOGY GMBH & CO. KG.,N,No Annual Report
"FEILONG AUTO COMPONENTS CO., LTD.",N,No Annual Report
SUPREME SPRINGS,N,No Annual Report
UNISEAL INC,N,No Annual Report
TECHNIPLAS US LLC,N,No Annual Report
SUPAVUT INDUSTRY COMPANY LIMITED,N,No Annual Report
ALPHA STAMPING COMPANY,N,No Annual Report
APCH AUTOMOTIVE PLASTIC COMPONENTS HOLDING GMBH,N,No Annual Report
INDUSTRIA DEL PLASTICO Y METALURGICA ALBANO COZZUOL S.A,N,No Annual Report
FILTRAN LLC,N,No Annual Report
"CIKAUTXO, S.COOP",N,No Annual Report
FEDERAL SCREW WORKS,N,No Annual Report
AIR INTERNATIONAL THERMAL AUSTRALIA P/L,N,No Annual Report
BRINK TOWING SYSTEMS BV,N,No Annual Report
A KAYSER AUTOMOTIVE SYSTEMS GMBH,N,No Annual Report
SYSTRAND MANUFACTURING CORP,N,No Annual Report
MNP CORP,N,No Annual Report
BLEISTAHL PRODUKTIONS GMBH & CO KG,N,No Annual Report
NINGBO TUOPU VIBRO-ACOUSTICS TECHNOLOGY CO LTD,N,No Annual Report
NISHIKAWA TACHAPLALERT COOPER LTD,N,No Annual Report
HOPE VALLEY INDUSTRIES INC,N,No Annual Report
MYUNGHWA IND CO LTD,N,No Annual Report
ANDERSON EXPRESS INC.,N,No Annual Report
NEW THAI WHEEL MANUFACTURING CO LTD,N,No Annual Report
CARCOUSTICS DEUTSCHLAND GMBH&CO.KG,N,No Annual Report
REA MAGNET WIRE COMPANY INC,N,No Annual Report
CQLT SAARGUMMI TECHNOLOGIES S.A.R.L.,N,No Annual Report
PUMP TECHNOLOGY SOLUTIONS PS GMBH,N,No Annual Report
A. RAYMOND GMBH & CO. KG,N,No Annual Report
GREDE II LLC,N,No Annual Report
PRESTONE PRODUCTS CORPORATION,N,No Annual Report
ZHEJIANG YINLUN MACHINERY CO LTD,N,No Annual Report
INOAC EXTERIOR PRODUCTS LLC,N,No Annual Report
"SOLERO TECHNOLOGIES, LLC",N,No Annual Report
FUKOKU KOREA CO LTD,N,No Annual Report
RECARO NORTH AMERICA INC,N,No Annual Report
YING MING INDUSTRY CO LTD,N,No Annual Report
GEMINI PLASTICS INC,N,No Annual Report
BANGKOK EAGLE WINGS CO LTD,N,No Annual Report
ASC INDUSTRIES,N,No Annual Report
CENTRAL CORPORATION,N,No Annual Report
"MPI ENGINEERED TECHNOLOGIES WIN, LLC",N,No Annual Report
CHASSIS BRAKES INTERNATIONAL (AUSTRALIA) PTY LTD,N,No Annual Report
FERROSIDER S.A.,N,No Annual Report
ORAFOL AUTOMOTIVE GRAPHICS,N,No Annual Report
THAI SUMMIT PLASTECH COMPANY LIMITED,N,No Annual Report
KIRCHHOFF AUTOMOTIVE CANADA INC,N,No Annual Report
"SHATTERPRUFE, A DIVISION OF PG GROUP PTY LTD",N,No Annual Report
ANGSTROM USA LLC,N,No Annual Report
WESTERN DIVERSIFIED PLASTICS LLC(WDP),N,No Annual Report
AG SIMPSON CO LTD,N,No Annual Report
AUTOMATIC SPRING PRODUCTS CORP,N,No Annual Report
METAL ONE AMERICA INC,N,No Annual Report
HEARN INDUSTRIAL SERVICES INC,N,No Annual Report
HUBEI HENGLONG AUTOMOTIVE SYSTEM GROUP CO LTD,N,No Annual Report
LINDE + WIEMANN SE & CO. KG,N,No Annual Report
AMINO CORPORATION,N,No Annual Report
"GONVARRI I. CENTRO DE SERVICIOS, S.L.",N,No Annual Report
MOUNTAIN TOP INDUSTRIES APS,N,No Annual Report
RONAL GMBH,N,No Annual Report
WESCAST (USA) INC.,N,No Annual Report
ANDROID INDUSTRIES INC,N,No Annual Report
SUMITOMO RUBBER THAILAND CO LTD,N,No Annual Report
JULIAN ELECTRIC INC,N,No Annual Report
GROUND EFFECTS LTD,N,No Annual Report
CATENSYS GERMANY GMBH,N,No Annual Report
BOURNS INC,N,No Annual Report
MODERN METAL & REFINING LTD,N,No Annual Report
AUTO INDUSTRIAL GROUP PTY LTD,N,No Annual Report
HIRSCHVOGEL UMFORMTECHNIK GMBH,N,No Annual Report
AMSTED INDUSTRIES,N,No Annual Report
DEXTER FASTENER TECHNOLOGIES,N,No Annual Report
MC METAL SERVICE ASIA THAILAND CO LTD,N,No Annual Report
KWANGJIN AMERICA INC.,N,No Annual Report
MICHIGAN PRODUCTION MACHINING,N,No Annual Report
PHILLIPS & TEMRO INDUSTRIES LTD,N,No Annual Report
LACKS TRIM SYSTEMS,N,No Annual Report
QUALITY METALCRAFT INC,N,No Annual Report
ALBON ENG & MANUFACTURING PLC,N,No Annual Report
"J.V.(THAILAND) CO.,LTD",N,No Annual Report
JINAN WORLDWIDE AUTO ACCESSORY LTD,N,No Annual Report
SUPREME TREON PVT. LTD,N,No Annual Report
FLEXIBLE PRODUCTS CO,N,No Annual Report
AJ ROSE MANUFACTURING COMPANY,N,No Annual Report
RHENUS AUTOMOTIVE SYSTEMS GMBH,N,No Annual Report
"SA AUTOMOTIVE, LTD",N,No Annual Report
SPECTRA PREMIUM MOBILITY SOLUTIONS CANADA LTD.,N,No Annual Report
RAUFOSS TECHNOLOGY AS,N,No Annual Report
GAGE PRODUCTS CO,N,No Annual Report
GDC INC,N,No Annual Report
JERNBERG SALES INC,N,No Annual Report
GUANGZHOU JINZHONG AUTO PARTS MANUFACTURING CO LTD,N,No Annual Report
DICASTAL MEXICO S DE RL DE CV,N,No Annual Report
DETROIT AUTOMOTIVE TECHNOLOGIES LANSING,N,No Annual Report
ESTABLECIMIENTOS GAMAR SA,N,No Annual Report
"MODULAR LOGISTICA VALENCIANA, SL",N,No Annual Report
OGURA CLUTCH CO LTD,N,No Annual Report
"SAINT JEAN INDUSTRIES VALLADOLID, S.L.U.",N,No Annual Report
"CADILLAC CASTING, INC.",N,No Annual Report
ALPHA INDUSTRY (THAILAND) CO LTD,N,No Annual Report
"DDP SPECIALTY ELECTRONIC MATERIALS US, LLC",N,No Annual Report
ZANINI AUTO GRUP SA AUF,N,No Annual Report
OAKLEY INDUSTRIES SUB ASSEMBLY DIVISION INC.,N,No Annual Report
TWEDDLE GROUP INC,N,No Annual Report
THERMAL MANAGEMENT SOLUTIONS UK LTD,N,No Annual Report
AOYAMA SEISAKUSHO CO LTD,N,No Annual Report
DIVERSIFIED MANUFACTURING & ASSEMBLY LLC,N,No Annual Report
PLASTIC TRIM LLC,N,No Annual Report
BAO STEEL TRADING EUROPE GMBH,N,No Annual Report
DBG,N,No Annual Report
HANDS CORPORATION LTD,N,No Annual Report
TESCA USA,N,No Annual Report
CONSOLIDATED METAL PRODUCTS INC,N,No Annual Report
MARQUARDT GMBH,N,No Annual Report
INFASTECH DOCORAH LLC,N,No Annual Report
"EFI AUTOMOTIVE ACCESSORIES SYSTEMS (WUHAN) CO., LTD",N,No Annual Report
"CHONGQING REBO LIGHTING&ELECTRONICS CO.,LTD",N,No Annual Report
"KIRIU (THAILAND) CO., LTD.",N,No Annual Report
CADILLAC PRODUCTS AUTOMOTIVE COMPANY,N,No Annual Report
MERIDIAN LIGHTWEIGHT TECHNOLOGIES INC,N,No Annual Report
SIAM NSK STEERING SYSTEMS CO LTD,N,No Annual Report
C THORREZ INDUSTRIES INC,N,No Annual Report
KURASHIKI SIAM RUBBER COMPANY LIMITED,N,No Annual Report
METALURGICA RUAL S.A.,N,No Annual Report
